Agency,line,name,mcd,cnty,year,sym2,cc2,sorder,stype,sym,cc,torder,transit,a,TOD1,b,TOD2,c,,d,final
SEPTA,Broad Street Line(BSS),Susquehanna-Dauphin Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.857142857,",",1.6,],"[3.857142857,1.6]",",","[3.857142857,1.6],"
SEPTA,Broad Street Line(BSS),Snyder Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.857142857,",",2.8,],"[3.857142857,2.8]",",","[3.857142857,2.8],"
SEPTA,Broad Street Line(BSS),Allegheny Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.714285714,",",2,],"[3.714285714,2]",",","[3.714285714,2],"
SEPTA,Broad Street Line(BSS),Oregon Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.714285714,",",2,],"[3.714285714,2]",",","[3.714285714,2],"
SEPTA,Broad Street Line(BSS),Hunting Park Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.714285714,",",1.4,],"[3.714285714,1.4]",",","[3.714285714,1.4],"
SEPTA,Broad Street Line(BSS),Wyoming Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.714285714,",",1.2,],"[3.714285714,1.2]",",","[3.714285714,1.2],"
SEPTA,Broad Street Line(BSS),Logan Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.571428571,",",1.8,],"[3.571428571,1.8]",",","[3.571428571,1.8],"
SEPTA,Market - Frankford Line (MFL),52nd St Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,4,",",2.8,],"[4,2.8]",",","[4,2.8],"
SEPTA,Market - Frankford Line (MFL),York-Dauphin Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,4,",",2.2,],"[4,2.2]",",","[4,2.2],"
SEPTA,Market - Frankford Line (MFL),Somerset Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,4,",",2,],"[4,2]",",","[4,2],"
SEPTA,Market - Frankford Line (MFL),46th St Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.857142857,",",3.6,],"[3.857142857,3.6]",",","[3.857142857,3.6],"
SEPTA,Market - Frankford Line (MFL),56th St Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.857142857,",",2.6,],"[3.857142857,2.6]",",","[3.857142857,2.6],"
SEPTA,Market - Frankford Line (MFL),60th St Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.857142857,",",2.4,],"[3.857142857,2.4]",",","[3.857142857,2.4],"
SEPTA,Market - Frankford Line (MFL),63rd St Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.857142857,",",2.6,],"[3.857142857,2.6]",",","[3.857142857,2.6],"
SEPTA,Market - Frankford Line (MFL),Berks Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.857142857,",",2.2,],"[3.857142857,2.2]",",","[3.857142857,2.2],"
SEPTA,Market - Frankford Line (MFL),Huntingdon Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.857142857,",",2.8,],"[3.857142857,2.8]",",","[3.857142857,2.8],"
SEPTA,Market - Frankford Line (MFL),Girard Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.714285714,",",3,],"[3.714285714,3]",",","[3.714285714,3],"
SEPTA,Market - Frankford Line (MFL),Arrott Transportation Center,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.714285714,",",1.8,],"[3.714285714,1.8]",",","[3.714285714,1.8],"
SEPTA,Market - Frankford Line (MFL),Allegheny Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.714285714,",",1.4,],"[3.714285714,1.4]",",","[3.714285714,1.4],"
SEPTA,Market - Frankford Line (MFL),Tioga Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.714285714,",",1.2,],"[3.714285714,1.2]",",","[3.714285714,1.2],"
SEPTA,Market - Frankford Line (MFL),Church Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.571428571,",",2.2,],"[3.571428571,2.2]",",","[3.571428571,2.2],"
SEPTA,Market - Frankford Line (MFL),Frankford Transportation Center,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6220,1,SEPTA BSL/MFL,[,3.428571429,",",1.6,],"[3.428571429,1.6]",",","[3.428571429,1.6],"
SEPTA,Market - Frankford Line (MFL),Erie-Torresdale Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#ed6250,1,SEPTA BSL/MFL,[,3.285714286,",",1.6,],"[3.285714286,1.6]",",","[3.285714286,1.6],"
SEPTA,Chestnut Hill East Line,Wister Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3,",",1.8,],"[3,1.8]",",","[3,1.8],"
SEPTA,"Chestnut Hill East Line, Airport, Warminster, Wilmington, W. Trenton, Media, Lansdale, Paoli, Manayunk, Chestnut Hill East, Trenton, Fox Chase, Chestnut Hill West",Temple University Station combined,Philadelphia City,Philadelphia,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.857142857,",",2.2,],"[3.857142857,2.2]",",","[3.857142857,2.2],"
SEPTA,"Chestnut Hill East Line, Fox Chase, Lansdale, Warminster, West Trenton",Wayne Junction combined,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.285714286,",",1.8,],"[3.285714286,1.8]",",","[3.285714286,1.8],"
SEPTA,Chestnut Hill West Line,Queen Lane Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.285714286,",",2.4,],"[3.285714286,2.4]",",","[3.285714286,2.4],"
SEPTA,"Chestnut Hill West Line, Trenton Line",North Philadelphia Station combined,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.571428571,",",2,],"[3.571428571,2]",",","[3.571428571,2],"
SEPTA,Fox Chase Line,Olney Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.285714286,",",1.6,],"[3.285714286,1.6]",",","[3.285714286,1.6],"
SEPTA,Manayunk/Norristown Line,Allegheny Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.571428571,",",2.2,],"[3.571428571,2.2]",",","[3.571428571,2.2],"
SEPTA,Manayunk/Norristown Line,East Falls Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,2.714285714,",",3,],"[2.714285714,3]",",","[2.714285714,3],"
SEPTA,Manayunk/Norristown Line,Wissahickon Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,2.571428571,",",2.8,],"[2.571428571,2.8]",",","[2.571428571,2.8],"
SEPTA,Media/Elwyn Line,49th Street Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.714285714,",",2,],"[3.714285714,2]",",","[3.714285714,2],"
SEPTA,Media/Elwyn Line,Angora Station,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.142857143,",",1.4,],"[3.142857143,1.4]",",","[3.142857143,1.4],"
SEPTA,Trenton Line,Bridesburg Station,Philadelphia City,Philadelphia,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,3.142857143,",",1.4,],"[3.142857143,1.4]",",","[3.142857143,1.4],"
SEPTA,Trenton Line,Holmesburg Junction Station,Philadelphia City,Philadelphia,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,2.714285714,",",2,],"[2.714285714,2]",",","[2.714285714,2],"
SEPTA,Trenton Line,Tacony Station,Philadelphia City,Philadelphia,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,2.571428571,",",1.4,],"[2.571428571,1.4]",",","[2.571428571,1.4],"
NJ TRANSIT RAIL,Riverline Light Rail,CASS STREET,Trenton City ,Mercer,2007,circle,#7CCDEE,7,Urban Neighborhood,circle,#a6add4,6,NJ Transit RiverLINE,[,2.428571429,",",2.6,],"[2.428571429,2.6]",",","[2.428571429,2.6],"
SEPTA,"Lansdale/Doylestown Line, Manayunk/Norristown, BSL","North Broad Station (RR), North Philadelphia (BSL) combined",Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle-open,#000000,7,Transit Center (multiple transit lines),[,3.571428571,",",1.8,],"[3.571428571,1.8]",",","[3.571428571,1.8],"
SEPTA,"Lansdale/Doylestown Line, Warminster, West Trenton, BSL",Fern Rock Transportation Center combined,Philadelphia City,Philadelphia ,2007,circle,#7CCDEE,7,Urban Neighborhood,circle-open,#000000,7,Transit Center (multiple transit lines),[,3.857142857,",",1.6,],"[3.857142857,1.6]",",","[3.857142857,1.6],"
